sim_time,robot_id,state,pos_x,pos_y,goal_x,goal_y,active_plan_source,active_plan_epoch,controller_epoch,controller_waypoint_idx,waypoints,current_task,hold_until,speed_scale
7.936,2,en_route_pickup,-4.178,-2.729,-1.000,1.500,joint_grid_transaction,3,3,3,9,2,0.000,1.00
7.936,3,en_route_pickup,3.418,3.000,-3.000,1.500,joint_grid_transaction,3,3,3,8,3,0.000,1.00
7.936,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.936,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.936,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.936,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
7.936,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.192,1,en_route_pickup,-4.858,2.945,-6.000,3.500,joint_grid_transaction,3,3,3,9,1,0.000,1.00
8.192,2,en_route_pickup,-4.193,-2.684,-1.000,1.500,joint_grid_transaction,3,3,4,9,2,0.000,1.00
8.192,3,en_route_pickup,3.370,3.000,-3.000,1.500,joint_grid_transaction,3,3,3,8,3,0.000,1.00
8.192,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.192,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.192,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.192,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.192,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.448,1,en_route_pickup,-4.889,2.942,-6.000,3.500,joint_grid_transaction,3,3,3,9,1,0.000,1.00
8.448,2,en_route_pickup,-4.205,-2.638,-1.000,1.500,joint_grid_transaction,3,3,4,9,2,0.000,1.00
8.448,3,en_route_pickup,3.323,3.000,-3.000,1.500,joint_grid_transaction,3,3,3,8,3,0.000,1.00
8.448,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.448,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.448,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.448,7,idle,-8.500,1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.448,8,idle,8.500,-1.200,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.704,1,en_route_pickup,-4.920,2.940,-6.000,3.500,joint_grid_transaction,3,3,3,9,1,0.000,1.00
8.704,2,en_route_pickup,-4.214,-2.591,-1.000,1.500,joint_grid_transaction,3,3,4,9,2,0.000,1.00
8.704,3,en_route_pickup,3.275,3.000,-3.000,1.500,joint_grid_transaction,3,3,3,8,3,0.000,1.00
8.704,4,idle,4.000,-3.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.704,5,idle,-7.000,-0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
8.704,6,idle,7.000,0.000,0.000,0.000,None,None,0,0,0,None,0.000,1.00
